Date,EUR_USD_Close
2014-10-01,1.2615
2014-10-02,1.2669
2014-10-03,1.251
2014-10-06,1.2645
2014-10-07,1.2678
2014-10-08,1.2721
2014-10-09,1.2681
2014-10-10,1.2613
2014-10-13,1.2693
2014-10-14,1.2657
2014-10-15,1.2802
2014-10-16,1.2796
2014-10-17,1.2761
2014-10-20,1.2808
2014-10-21,1.2722
2014-10-22,1.2642
2014-10-23,1.265
2014-10-24,1.2668
2014-10-27,1.2706
2014-10-28,1.2736
2014-10-29,1.2644
2014-10-30,1.2613
2014-10-31,1.253
2014-11-03,1.2489
2014-11-04,1.2549
2014-11-05,1.248
2014-11-06,1.2378
2014-11-07,1.2453
2014-11-10,1.242
2014-11-11,1.2479
2014-11-12,1.2431
2014-11-13,1.2482
2014-11-14,1.2525
2014-11-17,1.2452
2014-11-18,1.2534
2014-11-19,1.2538
2014-11-20,1.2545
2014-11-21,1.2387
2014-11-24,1.2439
2014-11-25,1.2477
2014-11-26,1.2508
2014-11-27,1.2474
2014-11-28,1.2441
2014-12-01,1.2475
2014-12-02,1.2379
2014-12-03,1.2313
2014-12-04,1.2378
2014-12-05,1.2289
2014-12-08,1.2318
2014-12-09,1.2367
2014-12-10,1.2443
2014-12-11,1.2385
2014-12-12,1.2458
2014-12-15,1.2441
2014-12-16,1.25
2014-12-17,1.2343
2014-12-18,1.2283
2014-12-19,1.2225
2014-12-22,1.2218
2014-12-23,1.2175
2014-12-24,1.2193
2014-12-25,1.2239
2014-12-26,1.2178
2014-12-29,1.2153
2014-12-30,1.2153
2014-12-31,1.2098
2015-01-01,1.2097
2015-01-02,1.2004
2015-01-05,1.1938
2015-01-06,1.1899
2015-01-07,1.1832
2015-01-08,1.1789
2015-01-09,1.1842
2015-01-12,1.184
2015-01-13,1.1771
2015-01-14,1.1789
2015-01-15,1.1616
2015-01-16,1.1567
2015-01-19,1.1604
2015-01-20,1.1549
2015-01-21,1.1596
2015-01-22,1.1339
2015-01-23,1.1221
2015-01-26,1.1265
2015-01-27,1.1368
2015-01-28,1.1291
2015-01-29,1.1316
2015-01-30,1.1303
2015-02-02,1.134
2015-02-03,1.1484
2015-02-04,1.1397
2015-02-05,1.1476
2015-02-06,1.1322
2015-02-09,1.132
2015-02-10,1.1318
2015-02-11,1.1302
2015-02-12,1.141
2015-02-13,1.1398
2015-02-16,1.1404
2015-02-17,1.14162
2015-02-18,1.14009
2015-02-19,1.13619
2015-02-20,1.1375
2015-02-23,1.13325
2015-02-24,1.13411
